"AcademicLevel","InternationalStudent","CountryOfOrigin"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Senior","True","China"
"Senior","True","China"
"Senior","True","China"
"Senior","True","China"
"Senior","True","China"
"Senior","True","China"
"Senior","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Senior","True","China"
"Senior","True","China"
"Senior","True","China"
"Senior","True","China"
"Senior","True","China"
"Senior","True","China"
"Senior","True","China"
"Senior","True","China"
"Senior","True","China"
"Senior","True","China"
"Senior","True","China"
"Senior","True","China"
"Senior","True","China"
"Senior","True","China"
"Senior","True","China"
"Senior","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
"Masters","True","China"
